event_id ,trip,event_type ,start_sec,end_sec ,confidence,notes,boundary_note
E1,1,HESITATION ,7,10,SURE,"stopped, facing the sign, mostly no body rotation",
E2,4,HESITATION,114,116,MAYBE,,
E3,5,HESITATION,142,144,SURE,,
E4,5,UTURN,146,147,SURE,"turn point 146,",end by convention
E5,5,UTURN,148,149,SURE,turn point 148,end by convention
E6,5,UTURN,150,151,SURE,turn point 150,end by convention
E7,5,HESITATION,153,155,SURE,,
E8,5,UTURN,159,160,SURE,turn point 159,end by convention
E9,12,HESITATION,49,53,SURE,"stopped, facing the sign",
E10,12,HESITATION,55,57,SURE,"exactly 2.0s, sits on the threshold",
E11,12,HESITATION,62,64,SURE,"exactly 2.0s, sits on the threshold",
E12,13,HESITATION,136,139,SURE,,
E13,13,UTURN,141,142,SURE,turn point 141,end by convention
E14,13,UTURN,145,146,SURE,turn point 145,end by convention
E15,14,HESITATION,24,34,SURE,"10s, the longest hesitation in the dataset so far",
E16,17,UTURN,90,91,SURE,turn point 90,end by convention
E17,17,HESITATION,96,98,SURE,"exactly 2.0s, sits on the threshold",
E18,17,HESITATION,101,110,SURE,9s,
E19,18,HESITATION,13,18,SURE,5s,
E20,18,UTURN,29,30,SURE,"squared-off reversal, two 90 degree turns not one pivot. instantaneous angle may never exceed 135",end by convention
E21,20,HESITATION,81,85,SURE,4s,
E22,20,UTURN,86,87,SURE,turn point 86,end by convention
E23,21,HESITATION,15,17,SURE,"exactly 2.0s, sits on the threshold",
